,"(0, 0, 0)","(-0.1, 0, 0.1)","(-0.1, 0.1, 0)","(0.1, 0, -0.1)","(0.1, -0.1, 0)","(-0.1, 0.05, 0.05)","(0.1, -0.05, -0.05)","(0.05, -0.1, 0.05)","(-0.05, 0.1, -0.05)","(0.05, 0.05, -0.1)","(-0.05, -0.05, 0.1)"
0,-1332.507812682596,-1332.5193685901727,-1332.5110727938636,-1332.5111939341668,-1332.4948274339617,-1332.5162316303943,-1332.53222100701,-1332.4964038192093,-1332.5137991666134,-1332.5022697403424,-1332.5047120684405
1,-1310.472295204944,-1310.527634945105,-1310.482082623906,-1310.5157330154811,-1310.5083828388465,-1310.5064353584391,-1310.4997147152721,-1310.494967740673,-1310.5279293860071,-1310.4967024075786,-1310.4796271051832
2,-1321.1163709157868,-1321.0707871406628,-1321.0991816075707,-1321.101092639547,-1321.0822500934541,-1321.1262394663522,-1321.0763271018673,-1321.1227066449828,-1321.0814463384063,-1321.1027507515253,-1321.1061277530164
3,-1278.629586549504,-1278.6384485019837,-1278.6398269655483,-1278.6208320257856,-1278.6261997160605,-1278.6264626602383,-1278.6148315736225,-1278.626759467692,-1278.6373038833244,-1278.6384487425782,-1278.6354027744194
4,-1288.7734286845066,-1288.7747386044548,-1288.7906339794672,-1288.7673148958888,-1288.7596515798114,-1288.7699391153155,-1288.7621203973222,-1288.771318809282,-1288.758740679632,-1288.7841458242872,-1288.778620193868
5,-1239.1772455395273,-1239.1507876760015,-1239.165762337404,-1239.1628388498195,-1239.1874571690364,-1239.1693619846842,-1239.1981714481772,-1239.1813695399119,-1239.184560585657,-1239.1821003487717,-1239.170464692984
6,-1127.5214705696403,-1127.5217075458218,-1127.5241934483627,-1127.5245920982702,-1127.526548696474,-1127.5140234565679,-1127.523501491269,-1127.504575266889,-1127.5192734507573,-1127.5260369725324,-1127.527810031187
7,-1140.7725606927195,-1140.745116829797,-1140.7872695588621,-1140.7682679100162,-1140.7945043710079,-1140.7902972768497,-1140.76229810714,-1140.7783786781185,-1140.7797848526488,-1140.7628462999016,-1140.7609826371379
8,-1106.917636710878,-1106.8782397685272,-1106.8785000938324,-1106.900020227768,-1106.9058324682032,-1106.913389909557,-1106.915636868427,-1106.9148320249715,-1106.9148069191701,-1106.877173013647,-1106.9012634875055
9,-1023.2032734484426,-1023.2065312333322,-1023.1795584329777,-1023.1833747176042,-1023.190628322413,-1023.1664064076834,-1023.1584692621436,-1023.1844318238587,-1023.1863725120373,-1023.1656405001964,-1023.1805762728495
10,-1077.6577332218626,-1077.6563407676742,-1077.658315358312,-1077.6591977992916,-1077.6548556761022,-1077.646831376688,-1077.6547628859535,-1077.6661950423795,-1077.6560780096997,-1077.639620202921,-1077.6397039259036
11,-1050.0158376536988,-1050.0362733196257,-1050.036774991543,-1050.0254594930645,-1050.0036875156327,-1050.0521865464716,-1050.0065413400011,-1050.005143324431,-1050.0289680399437,-1050.0467165753612,-1050.0410692817045
12,-1071.4035126446165,-1071.3876214413808,-1071.4157433428254,-1071.408555967717,-1071.4043203114263,-1071.417038340716,-1071.3957216610847,-1071.4060304109375,-1071.3791481464878,-1071.3905751605298,-1071.411584159931
